Customer_ID,Customer_Name,Segment,City,State,Country,Contact_Person,Email,Phone,Credit_Limit,Payment_Terms_Days,Active
CUST0001,"Smith, James and Hunt",Retail,Jaipur,New York,India,Krystal Donaldson,vanessaharvey@example.org,(267)578-5554x6183,166468.45,15,Yes
CUST0002,Mayo-Phelps,Retail,Nagpur,Minnesota,India,Mariah Aguirre,umoore@example.org,(836)328-0277x921,416638.1,60,Yes
CUST0003,"Yang, Hunter and Burns",Industrial,Surat,Indiana,India,Vincent Miller,fmcmahon@example.net,001-908-700-8760x907,23588.57,45,Yes
CUST0004,Smith and Sons,E-Commerce,Delhi,Indiana,India,Nicole Garcia,smithryan@example.com,(235)963-9663x505,456539.61,60,No
CUST0005,Zhang and Sons,Wholesale,Mumbai,New York,India,William Miller,xfox@example.org,551.942.9143x89920,39083.4,15,No
CUST0006,Rowe-Burgess,Industrial,Hyderabad,Kansas,India,Danny Stewart,ashley60@example.net,7287039339,136006.24,30,Yes
CUST0007,"Strong, Russell and Chang",Retail,Ahmedabad,New York,India,Amanda Harris,trujillomatthew@example.com,(389)402-1239x2398,71188.35,45,Yes
CUST0008,"Irwin, Arellano and Johnson",Retail,Bangalore,Georgia,India,Mark Espinoza,bchristian@example.com,+1-587-814-2962x5950,357912.36,45,No
CUST0009,"Hanna, Green and Smith",E-Commerce,Lucknow,North Carolina,India,Johnathan Nelson,tjohnston@example.org,001-705-946-6125x8379,445935.6,45,No
CUST0010,"Dalton, Lee and Miller",Industrial,Lucknow,Virginia,India,Jonathan Adams,alyssa31@example.com,(708)201-9220x67002,467381.39,30,No
CUST0011,Wolfe PLC,Industrial,Nagpur,Colorado,India,Donald Warner,qrhodes@example.net,580-349-3163x434,146286.89,60,No
CUST0012,"Davis, Black and Fuller",Government,Chennai,New Mexico,India,Emily Macdonald,randywalker@example.org,+1-888-714-8837x150,226816.83,30,No
CUST0013,Cooper LLC,Government,Kanpur,Delaware,India,Mark Collins,uruiz@example.com,001-378-799-6658x674,38444.98,45,No
CUST0014,Kidd PLC,Industrial,Mumbai,Tennessee,India,Ryan Reid,chaas@example.net,702-761-5488x23614,82510.09,15,Yes
CUST0015,Steele-Caldwell,Wholesale,Kolkata,Alabama,India,Isabel Clark,zgomez@example.org,001-825-643-7663,263211.42,30,Yes
CUST0016,Johnson-Henderson,Industrial,Coimbatore,Missouri,India,Kenneth Douglas,bowmanluke@example.net,001-987-427-0113x0737,430218.05,45,Yes
CUST0017,Johnson-Floyd,Industrial,Bangalore,New Jersey,India,Nathan Wilcox,sbrown@example.net,(390)411-9858,294623.41,45,Yes
CUST0018,Moreno-Hunter,Government,Chennai,Alaska,India,Stephanie Hill,emilysims@example.org,001-456-362-4679x6872,76998.86,45,No
CUST0019,"Martinez, Wong and Williams",Government,Pune,Delaware,India,Jordan Carter,henry72@example.net,5068183367,74875.33,60,No
CUST0020,"Wright, James and Erickson",E-Commerce,Hyderabad,Nevada,India,Gabriella Dennis,penningtonaustin@example.org,575.746.0612x1994,474102.66,15,Yes
CUST0021,"Adams, Maynard and Koch",Retail,Kolkata,Michigan,India,Tammy Huff,harriselizabeth@example.net,3617658866,106186.3,60,Yes
CUST0022,Donaldson Inc,Government,Pune,Kansas,India,Meghan Barron,kevin40@example.net,+1-870-915-5498x0711,83240.14,15,Yes
CUST0023,Zuniga LLC,Industrial,Bangalore,Texas,India,Katie Jackson,jason69@example.org,763-911-8395,248867.51,45,Yes
CUST0024,Russell-Carter,E-Commerce,Coimbatore,Rhode Island,India,Robin Harrison,jasmine09@example.net,218.612.6131,440801.81,30,Yes
CUST0025,Willis-Allison,Retail,Bangalore,North Carolina,India,Kevin Barker,jeffreytorres@example.org,432-854-0032,478596.04,45,Yes
CUST0026,"Craig, Martinez and Bryant",E-Commerce,Pune,Delaware,India,Michelle Arnold,barbara83@example.org,895-304-7423,76468.15,60,Yes
CUST0027,Jones Ltd,E-Commerce,Lucknow,California,India,Elizabeth Rice,amberaguilar@example.org,(736)562-9422x575,273276.51,45,Yes
CUST0028,Thomas Ltd,Wholesale,Surat,New Jersey,India,Amber Simpson,chad22@example.net,+1-391-561-8321x923,404839.17,60,Yes
CUST0029,Robinson-Galloway,Industrial,Kanpur,Colorado,India,Terri Martin,taylor53@example.net,562-317-8203x194,433887.37,15,Yes
CUST0030,Johnson Ltd,Industrial,Surat,Nevada,India,Jessica Lewis,rlopez@example.com,001-541-987-7991x818,406743.21,60,Yes
CUST0031,"Simpson, Miller and Heath",Government,Pune,New Hampshire,India,Mark Silva,michellemerritt@example.net,(229)725-2784,143443.95,60,Yes
CUST0032,Miller LLC,Government,Coimbatore,California,India,James Mosley,tiffanyjarvis@example.net,(729)467-4619x7910,236974.18,45,Yes
CUST0033,Brady-Martinez,E-Commerce,Kolkata,Connecticut,India,Lucas Alvarado,hsloan@example.org,001-421-922-1345x572,234822.28,15,Yes
CUST0034,Davis PLC,Industrial,Coimbatore,Michigan,India,Kenneth Andrade,khuff@example.net,+1-595-862-2961x151,398009.76,45,No
CUST0035,Rhodes Ltd,Government,Bangalore,Washington,India,Brittany Peters,alexander17@example.org,+1-326-399-6983x78689,308703.47,15,Yes
